ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,logKH_CH4
588.375,1625.15,3.79015,5.00675,4.8650400000000005,0.0,0.192521,0.2524,0.0,0.0,1.31103,588.375,448.7883572458296,0.2524,0.192521,-4.467979829609359
0.0,3422.36,3.33501,5.49096,5.47236,489.311,0.0,0.0,0.174538,0.2173199999999999,1.24511,489.311,392.98616186521673,0.2173199999999999,0.174538,-4.547402513858009
641.969,2604.67,4.04151,4.713480000000001,4.7118400000000005,0.0,0.204052,0.2486199999999999,0.0,0.0,1.21841,641.969,526.8907838904803,0.2486199999999999,0.204052,-4.049699905122427
2002.13,11510.8,4.57229,11.36875,11.36875,0.0,0.759178,0.6282800000000001,0.0,0.0,0.8275790000000001,2002.13,2419.2614844020936,0.6282800000000001,0.759178,-4.733704787093621
265.27,5421.22,3.72203,5.0107,4.81811,267.731,0.0956258,0.10804,0.0951125,0.10746,1.12982,533.001,471.75744808907615,0.2155,0.1907382999999999,-4.723028371511647
0.0,1913.99,3.05023,4.609030000000001,4.59626,162.955,0.0,0.0,0.084843,0.14002,1.65034,162.955,98.74025958287385,0.14002,0.084843,-4.669454334804755
297.113,1837.7,3.77657,4.48976,4.48976,15.2023,0.105207,0.1717,0.0218379,0.03564,1.63203,312.3153,191.36615135751185,0.20734,0.1270449,-5.161002393358612
0.0,828.345,2.73393,4.14397,4.02607,164.046,0.0,0.0,0.0970847,0.15118,1.5572,164.046,105.3467762650912,0.15118,0.0970847,-5.535121639500678
0.0,827.1419999999999,2.72277,4.14099,4.14099,153.405,0.0,0.0,0.0991835,0.15534,1.5661900000000002,153.405,97.94788627178056,0.15534,0.0991835,-5.536986937734944
0.0,828.865,2.73427,4.14407,4.110040000000001,156.009,0.0,0.0,0.0826372,0.13034,1.57726,156.009,98.91140331968096,0.13034,0.0826372,-5.549854087380925
0.0,832.325,3.09313,4.81565,4.81565,213.88,0.0,0.0,0.0673735999999999,0.1375,2.04086,213.88,104.79895730231372,0.1375,0.0673735999999999,-3.825036474227736
0.0,8749.54,3.61077,5.87191,5.83094,705.7260000000001,0.0,0.0,0.237968,0.2671199999999999,1.1225,705.7260000000001,628.709131403118,0.2671199999999999,0.237968,-3.5645315059254283
769.308,9078.18,3.81132,6.0927,5.65916,78.6852,0.247369,0.2643,0.0368199,0.03934,1.06844,847.9932,793.6741417393582,0.30364,0.2841889,-3.6118632602369263
0.0,8778.24,3.65374,5.88402,5.88316,728.4760000000001,0.0,0.0,0.245936,0.27274,1.10899,728.4760000000001,656.8823884796076,0.27274,0.245936,-3.5280837063563046
0.0,8846.03,3.65823,5.93387,5.82259,739.924,0.0,0.0,0.254297,0.28102,1.1050799999999998,739.924,669.5660042711838,0.28102,0.254297,-3.5911531252622257
0.0,8789.71,3.66343,5.8722,5.8722,716.663,0.0,0.0,0.24301,0.27184,1.11864,716.663,640.6556175355788,0.27184,0.24301,-3.58823555333158
0.0,1590.79,3.15018,4.206119999999999,4.18075,107.284,0.0,0.0,0.109404,0.12474,1.14018,107.284,94.09391499587784,0.12474,0.109404,-4.891036041568405
0.0,1632.17,3.44947,4.916440000000001,4.916440000000001,356.63800000000003,0.0,0.0,0.147327,0.16372,1.11127,356.63800000000003,320.9283072520629,0.16372,0.147327,-4.780541222599067
787.3889999999999,380.407,3.86765,4.67566,4.67566,0.0,0.214471,0.32866,0.0,0.0,1.53242,787.3889999999999,513.8206235888333,0.32866,0.214471,-3.2932327330956084
0.0,798.6,2.42814,4.3561,4.3561,77.1881,0.0,0.0,0.0611264,0.0866,1.41674,77.1881,54.48289735590158,0.0866,0.0611264,-4.3712525418317565
0.0,3455.83,3.25921,4.20063,4.17775,253.68,0.0,0.0,0.108413,0.14302,1.31921,253.68,192.29690496585084,0.14302,0.108413,-4.990391902755326
0.0,4834.13,3.2182,4.31246,4.31088,120.463,0.0,0.0,0.1266209999999999,0.1292,1.02037,120.463,118.05815537501104,0.1292,0.1266209999999999,-4.476434310128116
1732.68,9443.84,5.51402,13.89765,13.88466,0.0,0.7412700000000001,0.6109600000000001,0.0,0.0,0.8242069999999999,1732.68,2102.238879310659,0.6109600000000001,0.7412700000000001,-5.436433488027881
0.0,1398.77,3.19319,4.69106,4.6084700000000005,210.425,0.0,0.0,0.115594,0.13926,1.20474,210.425,174.6642429071833,0.13926,0.115594,-4.161232740569773
0.0,2432.32,2.84828,4.143269999999999,4.0524,60.2905,0.0,0.0,0.0380879,0.0824,2.16342,60.2905,27.86814395725287,0.0824,0.0380879,-6.072154534410305
400.076,2921.81,4.66172,5.75292,5.55476,153.803,0.10581,0.1363599999999999,0.0496148,0.06394,1.2887300000000002,553.879,429.7866892211712,0.2003,0.1554248,-4.624040252472903
916.145,3565.3,5.09054,6.88318,6.88318,0.0,0.185886,0.2955,0.0,0.0,1.58969,916.145,576.304185092691,0.2955,0.185886,-5.389899031574579
903.771,1196.59,5.13094,6.957000000000001,6.957000000000001,0.0,0.195622,0.3088599999999999,0.0,0.0,1.5788600000000002,903.771,572.4199739052228,0.3088599999999999,0.195622,-5.381121781925407
0.0,1342.38,2.70306,4.99322,4.97739,108.182,0.0,0.0,0.0355247999999999,0.0742,2.08868,108.182,51.7944347626252,0.0742,0.0355247999999999,-5.4494818062409385
